,Gare,Latitude,Longitude
480,Cerizay,46.8176878,-0.6689931
481,Cernay (Haut-Rhin),47.802,7.1737
482,Cernay (Val-d'Oise),48.98539,2.2568
483,Cérons,44.632346,-0.340526
484,Cessieu,45.5611596,5.3761179
485,Cesson,48.56563,2.5938
486,Cesson-Sévigné,48.11281,-1.60211
487,Ceyzériat,46.1834877,5.3258417
488,Chabanais,45.8726435,0.716894
489,Chabenet,46.6265259,1.5076773
490,Châbons,45.4383566,5.4281009
491,Chabris,47.2549836,1.6459424
492,Chagny,46.907269,4.749682
493,Chaingy Fourneaux Plage,47.8770705,1.782422
494,Chalais,45.2708327,0.0435966
495,Challans,46.843962,-1.871879
496,Chalon-sur-Saône,46.781612,4.843454
497,Chalonnes-sur-Loire,47.34306,-0.74306
498,Châlons-en-Champagne,48.955252,4.348656
499,Chamalières-sur-Loire,45.2047385,3.9909202
500,Chamarande,48.514244,2.215854
501,Chambéry - Challes-les-Eaux,45.571302,5.919547
502,Chambly,49.16362,2.24048
503,Chamborigaud,44.3002429,3.9793332
504,Chambourg-sur-Indre,47.1821629,0.9648363
505,Chamelet,45.9816414,4.5069346
506,Chamonix Aiguille du Midi,45.91993,6.8667152
507,Chamonix-Mont-Blanc,45.92277,6.87363
508,Chamousset,45.5575744,6.2067432
509,Champ de Courses d'Enghien,48.97975,2.29189
510,Champ de Mars Tour Eiffel,48.8551134,2.2892141
511,Champagné,48.0197118,0.3352253
512,Champagne-Ardenne TGV,49.214806,3.994632
513,Champagne-sur-Oise,49.13573,2.24156
514,Champagne-sur-Seine,48.406531,2.799184
515,Champagney,47.7031399,6.7012773
516,Champagnole,46.7492981,5.9100314
517,Champagnole Paul-Émile Victor,46.742483,5.9198128
518,Champbenoist - Poigny,48.545567,3.287434
519,Champigneulles,48.73499,6.16913
520,Champigny sur Yonne,48.3237418,3.1305718
521,Champs - Saint-Bris,47.7388182,3.6034756
522,Champtocé-sur-Loire,47.4102457,-0.8685747
523,Chanac,44.4739786,3.3454117
524,Changis - Saint-Jean,48.95936,3.025394
525,Chanteloup-les-Vignes,48.97095,2.02771
526,Chantenay,47.1971227,-1.5943634
527,Chantenay-Saint-Imbert,46.7283203,3.1720842
528,Chantilly - Gouvieux,49.18724,2.45979
529,Chantonnay,46.6898472,-1.0544144
530,Chapeauroux,44.8380008,3.741923
531,Chaponost,45.6984889,4.7643014
532,Chaponval,49.0694825,2.1423781
533,Charbonnières-les-Bains,45.782142,4.735912
534,Charleville-Mézières,49.767915,4.724952
535,Charmes,48.378483,6.301537
536,Chars,49.16268,1.93671
537,Chartres,48.4482023,1.4813128
538,Chartrettes,48.4870771,2.6950059
539,Chasse-sur-Rhône,45.58237,4.794843
540,Chasseneuil-du-Poitou,46.6517702,0.3730275
541,Chasseneuil-sur-Bonnieure,45.8244091,0.4535528
542,Chasseradès,44.5539847,3.8399319
543,Château-Arnoux-Saint-Auban,44.0615651,5.9973734
544,Château-du-Loir,47.683392,0.414912
545,Château-Gaillard,48.1416904,1.9128148
546,Château-l'Évêque,45.2445887,0.6882106
547,Château-Renault,47.5877961,0.9015238
548,Château-Thierry,49.038224,3.409514
549,Châteaubourg,48.106361,-1.405159
550,Châteaubriant,47.7175212,-1.3715152
551,Châteaubriant Tram Train,47.71713,-1.37135
552,Châteaudun,48.073463,1.338133
553,Châteaulin,48.2016033,-4.094308
554,Châteauneuf - Bujaleuf,45.759316,1.6453027
555,Châteauneuf-sur-Charente,45.599836,-0.0502
556,Châteauneuf-sur-Cher,46.8568144,2.3103826
557,Châteauroux,46.809737,1.699536
558,Châtel - Nomexy,48.307156,6.387807
559,Châtel-Censoir,47.5377695,3.6350455
560,Châtelaillon-Plage,46.0783303,-1.0908909
561,Châtelaudren - Plouagat,48.5332189,-2.9746782
562,Châtellerault,46.818594,0.549279
563,Châtillon d'Azergues,45.8751815,4.6451164
564,Chauffailles,46.2074552,4.3454278
565,Chaugey,47.0872036,5.2551914
566,Chaulnes,49.8076201,2.8011421
567,Chaumont,48.10976,5.1346
568,Chaumont-en-Vexin,49.26139,1.87274
569,Chauny,49.61119,3.22354
570,Chaux-des-Crotenay,46.6545926,5.9438595
571,Chaville - Vélizy,48.7998005,2.1845267
572,Chaville Rive Droite,48.81213,2.18785
573,Chaville Rive Gauche,48.8047497,2.1882472
574,Chazay - Marcilly,45.8729618,4.7252221
575,Chedde,45.9263464,6.7197662
576,Cheilly-lès-Maranges,46.8924768,4.6758424
577,Chelles - Gournay,48.874128,2.582484
578,Chemillé-en-Anjou,47.217748,-0.731989
579,Chemilly - Appoigny,47.8972366,3.5543936
580,Chemin d'Antony,48.748143,2.3126207
581,Chenevières,48.5195062,6.6325613
582,Chenonceaux,47.330554,1.0661
583,Chépy - Valines,50.0682219,1.6358275
584,Cherbourg,49.633505,-1.621515
585,Chessy,45.885545,4.6222625
586,Chevaigné,48.2089042,-1.6307622
587,Chevillon,48.5245505,5.1117843
588,Chevilly,48.0266215,1.8793013
589,Chèvremont,47.6216292,6.9214733
590,Chevrières,49.3373064,2.6828025
591,Chézy-sur-Marne,48.9919109,3.3644624
592,Chilly-Mazarin,48.7004413,2.3081837
593,Chindrieux,45.8034376,5.8468876
594,Chinon,47.163047,0.251538
595,Chirac,44.5246607,3.2638181
596,Chissay-en-Touraine,47.3349004,1.1333044
597,Chocques,50.5382038,2.564749
598,Choisy-le-Roi,48.763974,2.411102
599,Cholet,47.065698,-0.869583
600,Chorges,44.5458415,6.2718887
601,Chouzy-sur-Cisse,47.5203249,1.247846
602,Cinq-Mars-la-Pile,47.3452264,0.4604878
603,Cintegabelle,43.3054202,1.5204268
604,Cires-lès-Mello,49.2717956,2.3601903
605,Ciry-le-Noble,46.6040913,4.2997146
606,Civrieux-d'Azergues,45.8591831,4.7182413
607,Cize - Bolozon,46.2134803,5.4540677
608,Clacy - Mons,49.5439229,3.5766816
609,Clamart,48.813844,2.2733273
610,Clamecy,47.4666984,3.5207672
611,Clelles - Mens,44.8272443,5.6050622
612,Clères,49.598964,1.106184
613,Clermont de l'Oise,49.38531,2.41767
614,Clermont La Pardieu,45.766947,3.134163
615,Clermont La Rotonde,45.7680954,3.0909704
616,Clermont-en-Argonne,49.10645,5.06506
617,Clermont-Ferrand,45.778945,3.100543
618,Clerval,47.3966577,6.4920574
619,Clichy - Levallois,48.89678,2.2982
620,Clion sur Seugne,45.4783225,-0.502092
621,Clisson,47.086142,-1.286172
622,Cloyes-sur-le-Loir,47.9921032,1.2433542
623,Cluses,46.061447,6.582663
624,Coarraze - Nay,43.1818351,-0.2416429
625,Coat Guégan,48.4803156,-3.2738023
626,Cobrieux,50.5402798,3.2191247
627,Cognac,45.684682,-0.326112
628,Coignières,48.7437672,1.920809
629,Collioure,42.5269437,3.0782319
630,Collonges - Fontaines,45.8291102,4.8466136
631,Collonges-lès-Premières,47.2212533,5.2653478
632,Colmar,48.073201,7.346967
633,Colmar Mésanges,48.0860048,7.3336703
634,Colmar Saint-Joseph,48.0816399,7.3453397
